label,pitch_range,av_pitch,min_pitch,max_pitch,pitch75,pitch25,av_first_pitch,av_end_pitch,num_change_points_pitch,num_change_points_loudness,max_loudness,min_loudness,loudness75,loudness25,direction_asc,direction_desc,duration,index,svara,timestep,track
0,227.28344711674936,740.7456317179262,666.6461923190343,893.9296394357837,795.9945533199784,688.4510792036062,690.8632363703136,768.417122584092,4,2,2.1244888,-18.961761,-4.537542343139648,-10.321099281311035,1,0,0.48000789283394396,10.0,dha,0.003750061662765187,kamakshi
0,156.52352312831226,716.7250312233302,696.5503724639955,853.0738955923077,713.7637571823161,699.8937240582043,719.5401221301784,814.2617567425708,9,2,2.2745438,-18.336452,-1.504307746887207,-8.764188766479492,1,0,0.39375647459034463,11.0,dha,0.003750061662765187,kamakshi
0,370.2683131166742,754.6319899696766,676.8733315735668,1047.141644690241,740.1589637187088,694.1974868544663,704.3106486776404,1019.674024597285,6,2,3.476307,-5.4220695,-0.5964641571044922,-3.3783435821533203,1,0,0.4350071528807617,12.0,dha,0.003750061662765187,kamakshi
0,96.24583865221666,804.7125945721012,748.698605968739,844.9444446209557,822.2548389484385,790.2199473716349,797.423790771748,789.869671215484,4,2,1.4253311,-39.97033,-4.441108703613281,-33.10607147216797,0,1,0.3750061662765187,13.0,dha,0.003750061662765187,kamakshi
0,541.0605533310926,799.2420345507289,589.2215648755049,1130.2821182065975,871.2765268767075,722.2530152440875,1072.7136805594598,730.0760618215469,6,4,1.0332413,-22.211792,-4.965641975402832,-12.295995712280273,0,1,0.5100083861360655,14.0,dha,0.003750061662765187,kamakshi
0,137.69023114954348,725.2250123896827,688.7452366007574,826.4354677503009,745.7275371183753,698.6681858408715,699.0081150143898,772.9430698749158,8,2,1.1023216,-16.523708,-9.89278507232666,-11.78172492980957,1,0,0.461257584520118,15.0,dha,0.003750061662765187,kamakshi
0,187.0261957696157,735.7723194043289,665.3852162629742,852.4114120325899,779.0362063460076,696.4951314437303,713.0318835601473,686.8685116447712,6,6,1.4499245,-22.697815,-4.255956649780273,-12.261334419250488,0,1,0.5287586944498914,16.0,dha,0.003750061662765187,kamakshi
0,19.932453623040715,698.1397132794158,680.7848810580332,700.7173346810739,699.9185395306943,697.9429402653058,690.251218141875,699.9102050398056,10,2,0.9632187,-34.106617,-13.606040954589844,-20.421497344970703,1,0,0.4725077695084136,17.0,dha,0.003750061662765187,kamakshi
0,375.11049621620305,754.059166156627,604.1184251238637,979.2289213400668,830.5847966830611,660.9246045629804,919.6750582253658,661.4250621666407,8,2,1.2451897,-43.159767,-4.101512908935547,-12.922994613647461,0,1,0.6225102360190211,18.0,dha,0.003750061662765187,kamakshi
0,122.1645946514094,746.7908677515697,698.4204834209538,820.5850780723632,796.0110388820062,702.466513444598,728.2845318041811,787.8276042411269,6,2,1.0310135,-29.965897,-10.353462219238281,-16.966171264648438,1,0,0.40125659791587504,19.0,dha,0.003750061662765187,kamakshi
0,231.77384771769187,752.9552320942826,622.936966619344,854.7108143370359,818.2653439731146,689.2593454186947,732.505933704465,683.153369122401,6,2,1.0903702,-28.705366,-6.324359893798828,-11.662067413330078,0,1,0.6525107293211426,20.0,dha,0.003750061662765187,kamakshi
